Attaching to aeo_svdc-aeo_svdc-1
aeo_svdc-aeo_svdc-1  | Starting Process AEO_SVDC
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AESequenceDC : Previous event is valid - jobId = f7bccaf6-145a-4647-993a-68f93f6a181e, audit event sequence = Sequence, current event type = AssemblePacket
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AESequenceDC : Follow on event for existing Job received - jobId = f7bccaf6-145a-4647-993a-68f93f6a181e, current event type = TransferPacket with 1 previous event ids
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AESequenceDC : Previous event is valid - jobId = f7bccaf6-145a-4647-993a-68f93f6a181e, audit event sequence = Sequence, current event type = TransferPacket
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AESequenceDC : Follow on event for existing Job received - jobId = f7bccaf6-145a-4647-993a-68f93f6a181e, current event type = AssemblePacket with 1 previous event ids
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AESequenceDC : Previous event is valid - jobId = f7bccaf6-145a-4647-993a-68f93f6a181e, audit event sequence = Sequence, current event type = AssemblePacket
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AESequenceDC : Follow on event for existing Job received - jobId = f7bccaf6-145a-4647-993a-68f93f6a181e, current event type = TransferPacket with 1 previous event ids
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AESequenceDC : Previous event is valid - jobId = f7bccaf6-145a-4647-993a-68f93f6a181e, audit event sequence = Sequence, current event type = TransferPacket
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AESequenceDC : Follow on event for existing Job received - jobId = f7bccaf6-145a-4647-993a-68f93f6a181e, current event type = TransferResultStatus with 1 previous event ids
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AESequenceDC : Previous event is valid - jobId = f7bccaf6-145a-4647-993a-68f93f6a181e, audit event sequence = Sequence, current event type = TransferResultStatus
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AESequenceDC : Checking for completion of a Sequence or Job - jobId = f7bccaf6-145a-4647-993a-68f93f6a181e ,sequenceId = 1 and branch extent = 1
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/1F
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/20
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/21
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/22
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/23
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/24
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/25
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/26
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/27
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/28
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/29
